### TABLE 00a4e7b8 n=114
00a52220 teleport                                     fn=007cb1b0 dev=0
00a5222c forceteleport                                fn=007cb4c0 dev=1
00a52238 withinapproxpathdist                         fn=007cb690 dev=0
00a52244 ispathdirect                                 fn=007cb700 dev=0
00a52250 allowedstances                               fn=007cb770 dev=0
00a5225c isstanceallowed                              fn=007cb870 dev=0
00a52268 issuppressionwaiting                         fn=007cb980 dev=0
00a52274 issuppressed                                 fn=007cb9d0 dev=0
00a52280 ismovesuppressed                             fn=007cba20 dev=0
00a5228c checkgrenadethrow                            fn=007cba70 dev=0
00a52298 checkgrenadelaunch                           fn=007cc0b0 dev=0
00a522a4 checkgrenadelaunchpos                        fn=007cc190 dev=0
00a522b0 firegrenadelauncher                          fn=007cc240 dev=0
00a522bc throwgrenade                                 fn=007cbc90 dev=0
00a522c8 pickupgrenade                                fn=007cc380 dev=0
00a522d4 useturret                                    fn=007cc3d0 dev=0
00a522e0 stopuseturret                                fn=007cc4c0 dev=0
00a522ec canuseturret                                 fn=007cc500 dev=0
00a522f8 traversemode                                 fn=007cc580 dev=0
00a52304 animmode                                     fn=007cc620 dev=0
00a52310 orientmode                                   fn=007cc7c0 dev=0
00a5231c getmotionangle                               fn=007cca30 dev=0
00a52328 getanglestolikelyenemypath                   fn=007ccbc0 dev=0
00a52334 setturretanim                                fn=007ccc20 dev=0
00a52340 getturret                                    fn=007ccc80 dev=0
00a5234c beginprediction                              fn=007cee90 dev=0
00a52358 endprediction                                fn=007cecb0 dev=0
00a52364 lerpposition                                 fn=007ccce0 dev=0
00a52370 predictoriginandangles                       fn=007cce80 dev=0
00a5237c predictanim                                  fn=007ccf20 dev=0
00a52388 gethitenttype                                fn=007ccfc0 dev=0
00a52394 gethityaw                                    fn=007cd000 dev=0
00a523a0 getgroundenttype                             fn=007cd0a0 dev=0
00a523ac isdeflected                                  fn=007cd0e0 dev=0
00a523b8 trackscriptstate                             fn=007cd130 dev=0
00a523c4 dumphistory                                  fn=007cd220 dev=0
00a523d0 animcustom                                   fn=007cd250 dev=0
00a523dc canattackenemynode                           fn=007cd2d0 dev=0
00a523e8 getpathlength                                fn=007cd370 dev=0
00a523f4 calcpathlength                               fn=007cd3e0 dev=0
00a52400 getnegotiationstartnode                      fn=007cd470 dev=0
00a5240c getnegotiationendnode                        fn=007cd4e0 dev=0
00a52418 checkprone                                   fn=007cd550 dev=0
00a52424 pushplayer                                   fn=007cd610 dev=0
00a52430 checkgrenadethrowpos                         fn=007cbb70 dev=0
00a5243c setgoalnode                                  fn=007cd670 dev=0
00a52448 setgoalpos                                   fn=007cd730 dev=0
00a52454 setgoalentity                                fn=007cd7d0 dev=0
00a52460 setgoalvolume                                fn=007cd840 dev=0
00a5246c getgoalvolume                                fn=007cd910 dev=0
00a52478 cleargoalvolume                              fn=007cd960 dev=0
00a52484 setfixednodesafevolume                       fn=007cd9a0 dev=0
00a52490 getfixednodesafevolume                       fn=007cda10 dev=0
00a5249c clearfixednodesafevolume                     fn=007cda70 dev=0
00a524a8 isingoal                                     fn=007cdac0 dev=0
00a524b4 setruntopos                                  fn=007cdb50 dev=0
00a524c0 clearruntopos                                fn=007cdc30 dev=0
00a524cc nearnode                                     fn=007cdc90 dev=0
00a524d8 clearenemy                                   fn=007cdd00 dev=0
00a524e4 setentitytarget                              fn=007cddc0 dev=0
00a524f0 clearentitytarget                            fn=007cdee0 dev=0
00a524fc setpotentialthreat                           fn=007cdf60 dev=0
00a52508 clearpotentialthreat                         fn=007cdfd0 dev=0
00a52514 getperfectinfo                               fn=007ce030 dev=0
00a52520 setflashbangimmunity                         fn=007ce160 dev=0
00a5252c setflashbanged                               fn=007ce0c0 dev=0
00a52538 getflashbangedstrength                       fn=007ce1d0 dev=0
00a52544 setengagementmindist                         fn=007ce220 dev=0
00a52550 setengagementmaxdist                         fn=007ce2c0 dev=0
00a5255c isknownenemyinradius                         fn=007ce360 dev=0
00a52568 isknownenemyinvolume                         fn=007ce3f0 dev=0
00a52574 settalktospecies                             fn=007ce460 dev=0
00a52580 allowpitchangle                              fn=00444de0 dev=0
00a5258c knockback                                    fn=007cc450 dev=0
00a52598 getdeltaturnyaw                              fn=007ce520 dev=0
00a525a4 finishactordamage                            fn=007ce570 dev=0
00a525b0 startactorreact                              fn=007ce8f0 dev=0
### TABLE 00a52a80 n=168
00a52a80 giveweapon                                   fn=006114e0 dev=0
00a52a8c updateweaponoptions                          fn=007da4b0 dev=0
00a52a98 calcweaponoptions                            fn=007d6170 dev=0
00a52aa4 dropitem                                     fn=00651a30 dev=0
00a52ab0 takeweapon                                   fn=0052f960 dev=0
00a52abc takeallweapons                               fn=00436af0 dev=0
00a52ac8 isinmovemode                                 fn=007d6400 dev=0
00a52ad4 getcurrentweapon                             fn=005d32d0 dev=0
00a52ae0 getcurrentweaponclipammo                     fn=005d8ff0 dev=0
00a52aec getcurrentoffhand                            fn=0059fe80 dev=0
00a52af8 hasweapon                                    fn=0041e4b0 dev=0
00a52b04 switchtoweapon                               fn=0042aa10 dev=0
00a52b10 switchtooffhand                              fn=00671bf0 dev=0
00a52b1c getlockonradius                              fn=00680ee0 dev=0
00a52b28 getlockonspeed                               fn=0050c6d0 dev=0
00a52b34 givestartammo                                fn=005ffc10 dev=0
00a52b40 givemaxammo                                  fn=00435540 dev=0
00a52b4c getfractionstartammo                         fn=0045b810 dev=0
00a52b58 getfractionmaxammo                           fn=0052e980 dev=0
00a52b64 isweaponoverheating                          fn=007d6450 dev=0
00a52b70 setorigin                                    fn=007d6620 dev=0
00a52b7c setvelocity                                  fn=007d66a0 dev=0
00a52b88 getvelocity                                  fn=007d6740 dev=0
00a52b94 setplayerangles                              fn=007d67b0 dev=0
00a52ba0 getplayerangles                              fn=007d6c80 dev=0
00a52bac setviewlockent                               fn=007d6cf0 dev=0
00a52bb8 clearviewlockent                             fn=007d6d90 dev=0
00a52bc4 setplayerviewratescale                       fn=007d6d50 dev=0
00a52bd0 resetplayerviewratescale                     fn=007d6d70 dev=0
00a52bdc getplayercamerapos                           fn=007d6df0 dev=0
00a52be8 startcameratween                             fn=007da570 dev=0
00a52bf4 cameraactivate                               fn=007d6940 dev=0
00a52c00 camerasetposition                            fn=007d69d0 dev=0
00a52c0c camerasetlookat                              fn=007d6b50 dev=0
00a52c18 getplayerviewheight                          fn=007d6e70 dev=0
00a52c24 getnormalizedmovement                        fn=0044aa80 dev=0
00a52c30 getnormalizedcameramovement                  fn=005aac30 dev=0
00a52c3c usebuttonpressed                             fn=00589170 dev=0
00a52c48 usebuttonheld                                fn=005fe7d0 dev=0
00a52c54 attackbuttonpressed                          fn=004fed40 dev=0
00a52c60 reversebuttonpressed                         fn=00536b70 dev=0
00a52c6c fragbuttonpressed                            fn=00603330 dev=0
00a52c78 secondaryoffhandbuttonpressed                fn=004726b0 dev=0
